Address,Score,Strict Same TX,NB TX,Sybil,Chain From First,Chain To First,Date First,Protocol First,Chain From Last,Chain To Last,Date Last,Protocol Last
0xf421f9b92c460769cb39e6d0a8e43ffe6921a957,83.68,10,100,false,BNB Chain,Harmony,2023-05-31 20:06:58.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 22:26:59.000,Merkly
0x333903c6110e5cf859791c0787ce3ea2d981f1ca,69.00,11,112,false,BNB Chain,Harmony,2023-05-31 20:11:10.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 18:02:27.000,Merkly
0x83b2ace5070a25159432ed3c077c9cfec07e0e13,75.00,17,97,false,BNB Chain,Harmony,2023-05-31 20:15:22.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 10:42:11.000,Merkly
0xcd43822be00198f70c26f7ffe7d9f495425b8260,87.89,6,103,false,BNB Chain,Harmony,2023-05-31 20:16:25.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 02:21:31.000,Merkly
0x2161be8a96297bc62dd5015396f708b881c7027b,87.52,15,103,false,BNB Chain,Harmony,2023-05-31 20:20:37.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 10:56:25.000,Merkly
0xf185abd3ad7a280f580de50339e1ab689321aa1b,82.62,11,100,false,BNB Chain,Harmony,2023-05-31 20:21:40.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 23:51:24.000,Merkly
0x4a9a5f59f88f201b53d7a2d0508f856f2632de5e,77.92,5,93,false,BNB Chain,Harmony,2023-05-31 20:22:43.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 13:54:46.000,Merkly
0xb10fb3d769e926c20af8cbf74e5af3da3745e7b2,88.68,12,103,false,BNB Chain,Harmony,2023-05-31 20:25:03.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 05:25:24.000,Merkly
0xf931f09f9bbfebcb87d7dfaa450fdb44638bc59d,64.02,9,110,false,BNB Chain,Harmony,2023-05-31 20:28:12.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 19:37:12.000,Merkly
0x7900a0ff497d4de674eed0e8c3408f8086414963,61.67,5,120,false,BNB Chain,Harmony,2023-05-31 20:29:15.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 13:20:17.000,Merkly
